Origin,Destination,og-dest,dest-og,dest-og in og-dest,og_lat,og_long,dest_lat,dest_long,dir_ns,dir_ew
Arusha,Dodoma,ArushaDodoma,DodomaArusha,1,-3.386925,36.682993,-6.162959,35.751607,S,W
Arusha,Kigoma,ArushaKigoma,KigomaArusha,1,-3.386925,36.682993,-4.88615,29.638321,S,W
Arusha,Machakos,ArushaMachakos,MachakosArusha,1,-3.386925,36.682993,-1.517684,37.263415,N,E
Arusha,Makueni,ArushaMakueni,MakueniArusha,1,-3.386925,36.682993,-1.786495,37.631107,N,E
Arusha,Morogoro,ArushaMorogoro,MorogoroArusha,1,-3.386925,36.682993,-6.82824,37.667789,S,E
Arusha,Moshi,ArushaMoshi,MoshiArusha,1,-3.386925,36.682993,-3.34882,37.343151,N,E
Arusha,Musoma,ArushaMusoma,MusomaArusha,1,-3.386925,36.682993,-1.4997,33.806351,N,W
Arusha,Mwanza,ArushaMwanza,MwanzaArusha,1,-3.386925,36.682993,-2.51788,32.8991,N,W
Arusha,Nairobi,ArushaNairobi,NairobiArusha,1,-3.386925,36.682993,-1.292066,36.821945,N,E
Bujumbura,Gitega,BujumburaGitega,GitegaBujumbura,1,-3.361378,29.359878,-3.428803,29.924903,S,E
Bujumbura,Kamembe,BujumburaKamembe,KamembeBujumbura,1,-3.361378,29.359878,-2.462016,28.907371,N,W
Bujumbura,Kigoma,BujumburaKigoma,KigomaBujumbura,1,-3.361378,29.359878,-4.88615,29.638321,S,E
Bujumbura,Ngozi,BujumburaNgozi,NgoziBujumbura,1,-3.361378,29.359878,-2.91084,29.82443,N,E
Busia,Eldoret,BusiaEldoret,EldoretBusia,1,0.470669,34.09198,0.514277,35.26978,N,E
Busia,Kampala,BusiaKampala,KampalaBusia,1,0.470669,34.09198,0.347596,32.58252,S,W
Busia,Kisumu,BusiaKisumu,KisumuBusia,1,0.470669,34.09198,-0.091702,34.767957,S,E
Busia,Kitale,BusiaKitale,KitaleBusia,1,0.470669,34.09198,1.01837,35.00283,N,E
Busia,Owino,BusiaOwino,OwinoBusia,1,0.470669,34.09198,0.31569,32.57811,S,W
Busia,Tororo,BusiaTororo,TororoBusia,1,0.470669,34.09198,0.69313,34.181,N,E
Dar es salaam,Morogoro,Dar es salaamMorogoro,MorogoroDar es salaam,1,-6.792354,39.208328,-6.82824,37.667789,S,W
Dar es salaam,Moshi,Dar es salaamMoshi,MoshiDar es salaam,1,-6.792354,39.208328,-3.34882,37.343151,N,W
Dar es salaam,Songea,Dar es salaamSongea,SongeaDar es salaam,1,-6.792354,39.208328,-10.66551,35.645039,S,W
Dar es salaam,Tanga,Dar es salaamTanga,TangaDar es salaam,1,-6.792354,39.208328,-5.07013,39.104931,N,W
Dodoma,Arusha,DodomaArusha,ArushaDodoma,1,-6.162959,35.751607,-3.386925,36.682993,N,E
Dodoma,Iringa,DodomaIringa,IringaDodoma,1,-6.162959,35.751607,-7.768059,35.686072,S,W
Dodoma,Mbeya,DodomaMbeya,MbeyaDodoma,1,-6.162959,35.751607,-8.909401,33.460774,S,W
Dodoma,Morogoro,DodomaMorogoro,MorogoroDodoma,1,-6.162959,35.751607,-6.82824,37.667789,S,E
Dodoma,Mwanza,DodomaMwanza,MwanzaDodoma,1,-6.162959,35.751607,-2.51788,32.8991,N,W
Eldoret,Busia,EldoretBusia,BusiaEldoret,1,0.514277,35.26978,0.470669,34.09198,S,W
Eldoret,Kisumu,EldoretKisumu,KisumuEldoret,1,0.514277,35.26978,-0.091702,34.767957,S,W
Eldoret,Kitale,EldoretKitale,KitaleEldoret,1,0.514277,35.26978,1.01837,35.00283,N,W
Eldoret,Meru,EldoretMeru,MeruEldoret,1,0.514277,35.26978,0.051472,37.645604,S,E
Eldoret,Nakuru,EldoretNakuru,NakuruEldoret,1,0.514277,35.26978,-0.28149,36.078419,S,E
Eldoret,Tororo,EldoretTororo,TororoEldoret,1,0.514277,35.26978,0.69313,34.181,N,W
